Pulsar	Fiducial DM
J0030+0451	4.333298
J0034-0534	13.764696
J0437-4715	2.642608
J0613-0200	38.776387
J0645+5158	18.245
J0740+6620	14.96231
J0751+1807	30.24075
J0900-3144	75.69364
J1012+5307	9.025098
J1022+1001	10.24822
J1024-0719	6.4906
J1125+7819	11.22068
J1455-3330	13.5692
J1600-3053	52.33372
J1614-2230	34.4912
J1640+2224	18.4264
J1643-1224	62.39075
J1713+0747	15.98859
J1730-2304	9.62704
J1744-1134	3.138708
J1857+0943	13.30093
J1909−3744	10.39059
J1939+2134	71.0156
J1944+0907	24.3535
J2124-3358	4.59288
J2145-0750	9.002396
J2302+4442	13.71846
